Age	Sex	Education	LN	EHI1	EHI2	EHI3	EHI4	EHI5	EHI6	EHI7	EHI8	EHI9	EHI10	FLI1	FLI2	FLI3	FLI4	FLI5	FLI6	FLI7	FLI8	FLI9	FLI10	FLI_recznosc_samoocena	FLI_uszkodzenia
22	1	2	15	1	1	1	1	1	1	1	1	1	1	100	100	100	100	999	999	999	100	999	100	1	0
19	1	2	13	1	1	1	3	1	3	2	3	3	1	100	100	70	50	0	80	70	80	50	100	1	0
22	2	1	13	1	1	1	1	1	1	1	1	3	1	100	100	100	100	100	999	999	100	999	100	1	0
20	1	2	17	1	1	1	1	1	3	3	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0
23	1	4	16	2	2	2	2	2	2	2	2	3	3	0	30	50	20	0	50	50	15	50	15	2	1
24	1	4	17	2	2	1	2	2	2	1	2	2	1	0	0	50	50	50	70	50	90	50	95	3	0
21	2	2	14	1	1	1	1	1	1	1	1	1	1	100	100	70	80	90	80	90	95	95	100	1	0
35	1	2	17	1	1	1	1	1	1	3	1	1	1	98	98	60	60	98	70	98	98	80	98	1	0
23	1	2	17	1	1	1	1	1	1	1	1	1	1	100	100	70	90	60	50	80	98	70	100	1	0
38	1	4	20	1	1	2	1	3	1	3	2	1	1	100	60	999	80	999	30	999	90	999	90	1	0
32	2	2	12	2	2	2	2	2	2	2	2	2	2	0	0	20	0	0	0	0	0	10	0	2	0
21	1	2	14	2	2	2	2	2	2	2	2	2	2	0	0	20	40	0	30	0	0	30	0	2	0
